video_id,views,likes,comments,score
v00879,635680,16881,8237,660798
v00880,444402,12584,1395,458381
v00881,127434,30178,6685,164297
v00882,775793,25799,5257,806849
v00883,694357,2601,2282,699240
v00884,515084,45187,5460,565731
v00885,627617,25500,4267,657384
v00886,343214,47177,8862,399253
v00887,697978,47725,2425,748128
v00888,597899,49068,9326,656293
v00889,282926,19955,8840,311721
v00890,913307,22173,5274,940754
v00891,644051,8055,713,652819
v00892,601755,32175,2330,636260
v00893,857402,25502,3369,886273
v00894,9786,38622,3745,52153
v00895,506573,31360,6983,544916
v00896,672338,27152,288,699778
v00897,294405,33457,8724,336586
v00898,736867,1026,2546,740439
v00899,64859,26269,1976,93104
v00900,828772,46734,3582,879088
v00901,637209,9995,3435,650639
v00902,699727,23617,38,723382
v00903,204349,3433,2353,210135
v00904,28357,42847,2618,73822
v00905,948269,37062,6621,991952
v00906,775483,17965,2621,796069
v00907,548989,15398,2132,566519
v00908,553838,41769,1218,596825
v00909,556352,2252,408,559012
v00910,618042,12599,7178,637819
v00911,187467,14042,3892,205401
v00912,366001,18857,547,385405
v00913,724335,25685,5970,755990
v00914,661539,13227,3648,678414
v00915,116838,34749,1251,152838
v00916,828623,21105,7642,857370
v00917,529986,47578,3137,580701
v00918,722180,38229,7885,768294
v00919,546981,18605,8960,574546
v00920,211743,26360,8387,246490
v00921,569381,25392,8984,603757
v00922,637901,12694,6826,657421
v00923,438173,49778,7482,495433
v00924,516483,19683,5794,541960
v00925,978065,25610,8186,1011861
v00926,165029,9975,4906,179910
v00927,405816,43861,2618,452295
v00928,816438,13893,9367,839698
v00929,446587,14624,2615,463826
v00930,662521,14498,5783,682802
v00931,56904,19101,112,76117
v00932,984417,48125,9029,1041571
v00933,987953,24282,8197,1020432
v00934,903033,904,3291,907228
v00935,130146,22713,1685,154544
v00936,916209,6246,8384,930839
v00937,927319,17166,2454,946939
v00938,431959,16305,4264,452528
v00939,591227,22082,6254,619563
v00940,170245,24592,8936,203773
v00941,704187,22583,6753,733523
v00942,196388,3868,5320,205576
v00943,109018,46311,5455,160784
v00944,220060,8813,250,229123
v00945,440653,41150,5931,487734
v00946,164793,15688,8621,189102
v00947,951751,2396,5416,959563
v00948,664676,1280,5560,671516
v00949,651829,32403,3478,687710
v00950,485889,46804,5878,538571
v00951,420891,31051,3294,455236
v00952,644017,22349,2025,668391
v00953,781029,18450,5772,805251
v00954,711206,37150,6761,755117
v00955,450443,24682,4907,480032
v00956,262087,42744,4431,309262
v00957,621749,29261,5080,656090
v00958,223116,8710,4554,236380
v00959,128973,32033,3533,164539
v00960,822088,42511,8476,873075
v00961,600093,26548,364,627005
v00962,639155,35600,5954,680709
v00963,716402,39035,2792,758229
v00964,20633,35277,2525,58435
v00965,352637,43179,6424,402240
v00966,636654,22325,7646,666625
v00967,307635,15392,3584,326611
v00968,750142,40929,5420,796491
v00969,335678,37280,3812,376770
v00970,838181,17167,7341,862689
v00971,225039,110,6702,231851
v00972,720010,33897,7599,761506
v00973,557265,31400,8483,597148
v00974,888553,3807,1343,893703
v00975,153504,44098,6362,203964
v00976,521337,9125,2245,532707
v00977,633012,37308,1545,671865
v00978,282843,16463,5543,304849
v00979,330906,11778,2776,345460
v00980,931520,10130,6758,948408
v00981,363106,38488,3277,404871
v00982,379985,40865,8188,429038
v00983,342311,11244,380,353935
v00984,807101,36283,6308,849692
v00985,815229,11604,4381,831214
v00986,411049,38896,1318,451263
v00987,828678,43146,250,872074
v00988,204470,26661,1380,232511
v00989,135611,37371,7353,180335
v00990,725405,36813,7382,769600
v00991,210147,41961,1896,254004
v00992,997270,37489,5654,1040413
v00993,898557,32238,129,930924
v00994,298925,22830,2982,324737
v00995,918768,7471,5417,931656
v00996,112801,49772,3859,166432
v00997,576885,47203,8081,632169
v00998,688506,20305,5056,713867
v00999,821588,43756,7651,872995
v01000,903198,28118,5283,936599
